n_steps,audit_probability,return_fidelity,expected_score,classical_memory_bound,collective_classical_record_bound,raw_margin_above_classical,systematic_per_branch,null_slack,adjusted_margin,alpha,beta,planned_audit_trials,planned_return_trials,planned_total_trials,planning_feasible
47,0.9528230500030102,0.8639637511224565,0.9083934005627333,0.75,0.8535533905932737,0.15839340056273332,0.005,0.005,0.1483934005627333,0.01,0.1,152,153,305,True
48,0.9519174039030042,0.8613718598690892,0.9066446318860466,0.75,0.8535533905932737,0.1566446318860466,0.005,0.005,0.1466446318860466,0.01,0.1,156,157,313,True
49,0.9510135690951982,0.8587877442894819,0.9049006566923401,0.75,0.8535533905932737,0.1549006566923401,0.005,0.005,0.1449006566923401,0.01,0.1,160,160,320,True
50,0.9501115419570078,0.8562113810566134,0.9031614615068106,0.75,0.8535533905932737,0.15316146150681065,0.005,0.005,0.14316146150681064,0.01,0.1,164,164,328,True
51,0.9492113188730937,0.8536427469134436,0.9014270328932686,0.75,0.8535533905932737,0.15142703289326864,0.005,0.005,0.14142703289326863,0.01,0.1,168,168,336,True
52,0.9483128962353475,0.8510818186727033,0.8996973574540255,0.75,0.8535533905932737,0.14969735745402546,0.005,0.005,0.13969735745402545,0.01,0.1,172,172,344,True
53,0.9474162704428768,0.8485285732166852,0.897972421829781,0.75,0.8535533905932737,0.147972421829781,0.005,0.005,0.13797242182978098,0.01,0.1,176,177,353,True
54,0.9465214379019911,0.845982987497035,0.896252212699513,0.75,0.8535533905932737,0.14625221269951305,0.005,0.005,0.13625221269951304,0.01,0.1,181,181,362,True
55,0.9456283950261871,0.843445038534544,0.8945367167803655,0.75,0.8535533905932737,0.1445367167803655,0.005,0.005,0.1345367167803655,0.01,0.1,186,185,371,True
56,0.9447371382361347,0.8409147034189404,0.8928259208275375,0.75,0.8535533905932737,0.14282592082753753,0.005,0.005,0.13282592082753752,0.01,0.1,190,191,381,True
57,0.9438476639596625,0.8383919593086835,0.891119811634173,0.75,0.8535533905932737,0.14111981163417298,0.005,0.005,0.13111981163417297,0.01,0.1,196,195,391,True
58,0.9429599686317431,0.8358767834307574,0.8894183760312503,0.75,0.8535533905932737,0.1394183760312503,0.005,0.005,0.12941837603125028,0.01,0.1,200,201,401,True
59,0.9420740486944796,0.8333691530804652,0.8877216008874724,0.75,0.8535533905932737,0.13772160088747243,0.005,0.005,0.12772160088747242,0.01,0.1,206,206,412,True
60,0.9411899005970907,0.8308690456212238,0.8860294731091573,0.75,0.8535533905932737,0.13602947310915725,0.005,0.005,0.12602947310915724,0.01,0.1,212,211,423,True
61,0.9403075207958965,0.8283764384843602,0.8843419796401284,0.75,0.8535533905932737,0.1343419796401284,0.005,0.005,0.12434197964012839,0.01,0.1,218,217,435,True
62,0.9394269057543048,0.825891309168907,0.8826591074616059,0.75,0.8535533905932737,0.13265910746160592,0.005,0.005,0.12265910746160591,0.01,0.1,224,223,447,True
63,0.9385480519427961,0.8234136352414003,0.8809808435920983,0.75,0.8535533905932737,0.13098084359209827,0.005,0.005,0.12098084359209826,0.01,0.1,230,229,459,True
64,0.9376709558389105,0.8209433943356761,0.8793071750872933,0.75,0.8535533905932737,0.12930717508729328,0.005,0.005,0.11930717508729327,0.01,0.1,236,236,472,True
65,0.9367956139272327,0.818480564152669,0.8776380890399509,0.75,0.8535533905932737,0.12763808903995089,0.005,0.005,0.11763808903995088,0.01,0.1,242,243,485,True
